Word,Definitions
xkonqLH,[[dress|dressed]] [[or|or]] [[cover|covered]] [[someone|someone]]
xkuMS,[[feed|fed]]
xkwanHL,[[sew|sewed]]
xkwenHL,[[answer|answered]]
xlaLM,[[melt|melted]]
xlyuLH,[[turn|turned]] [[around|around]]
xneHL,[[confess|confessed]]
xoqM kiLM,[[gather|gathered]]
xqanH,[[change|changed]]
xqwaHS/HL,[[pay|paid]]
xtaH,[[choke|choked]]
xtiH,[[smoothe|smoothed]] [[out|out]]
xtyaMS,[[place|placed]]
xtyiqHS,[[untied|untied]]
xyaqM,[[mix|mixed]]
yaLH,[[go|went]] [[away|away]]
yjaqLM,[[sleep|slept]]
yjoqL/H,[[poke|poked]]
yjwiLH,[[hit|hit]] [[someone|someone]]
yjwiqM,[[sell|sold]]
ykuL,[[eat|ate]]
ykuqM,[[wear|wore]] [[it|it]] [[on|on]]
ykwanqH,[[slap|slapped]]
ykwaqL,[[drip|dripped]]
ykwenM,[[vomit|vomited]]
ykwenqH,[[swallow|swallowed]]
ykwiqL,[[speak|spoke]]
ylaH,[[be|was]] [[bear|born]]
ylaLM,[[sang|sang]]
ylaqL,[[touch|touched]]
yluH,[[dug|dug]]
yluHL/LM,[[grow|grew]]
ynaLH,[[hear|heard]]
ynaLM,[[cry|cried]]
ynaqH,[[get|got]] [[lose|lost]]
ynoH,[[stay|stayed]] [[behind|behind]]
yoM,[[ground|ground]]
yqanLH,[[wash|washed]]
yqoM,[[drank|drank]]
yquM,[[grow|grew]] [[or|or]] [[survive|survived]]
yqweM,{{lb|omq-sjq|male register}} [[have|had]] [[sex|sex]]
yqwiL,[[exist|existed]]
ytaL,[[plant|planted]] ; [[wait|waited]]
ytiqL,[[suck|sucked]]
ytsaqLM,[[tell|told]]
ytsenLH,[[get|got]] [[scared|scared]]
